Canal: 1
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
1     	66000		0		0		0		0
64     	264		1		1320		0		246
56     	528		0		180		246		369
72     	691		0		480		297		391
48     	532		1		1080		391		513
80     	374		0		0		513		686
40     	643		0		660		609		710
88     	464		1		1260		710		850
32     	527		1		720		756		879
96     	540		0		840		879		999
24     	384		0		1380		906		1075
104     	740		1		1380		1075		1162
111     	221		1		180		1095		1389
119     	66000		0		1440		1389		1389
Numero de Barcos = 14

Canal: 2
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
2     	66000		0		0		0		0
63     	523		1		1140		0		124
57     	711		1		1260		55		146
71     	350		1		1260		76		261
49     	663		0		660		261		359
79     	408		0		300		283		442
41     	188		1		900		442		787
87     	601		0		1140		787		895
33     	753		1		360		895		981
95     	403		1		420		914		1075
25     	379		1		120		951		1122
103     	571		0		1260		1122		1235
17     	623		0		420		1156		1260
16     	566		1		120		1260		1374
112     	824		1		420		1315		1393
120     	66000		0		1440		1393		1393
Numero de Barcos = 16

Canal: 3
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
3     	66000		0		0		0		0
65     	367		1		900		0		177
55     	358		1		540		40		221
73     	359		0		780		221		402
47     	513		0		420		306		432
81     	677		0		840		359		455
39     	574		0		1020		381		494
89     	436		1		1320		494		643
31     	498		0		1380		643		773
97     	396		1		240		773		937
23     	432		1		1320		822		972
105     	417		0		780		972		1127
15     	576		0		900		1042		1154
113     	555		1		0		1154		1271
9     	539		0		360		1271		1391
121     	66000		0		1440		1392		1392
Numero de Barcos = 16

Canal: 4
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
4     	66000		0		0		0		0
62     	479		1		360		0		135
58     	397		1		660		31		194
70     	631		0		540		194		297
50     	415		0		240		217		373
78     	535		0		360		281		402
42     	668		0		0		328		425
86     	461		1		1140		425		565
34     	490		0		60		565		697
94     	571		0		480		611		724
26     	790		0		960		661		743
102     	411		0		420		679		837
18     	722		0		1380		768		858
110     	547		0		1200		788		906
10     	491		1		480		906		1038
118     	193		0		360		1038		1374
122     	66000		0		1440		1375		1375
Numero de Barcos = 17

Canal: 5
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
5     	66000		0		0		0		0
66     	419		0		180		0		155
54     	525		0		720		61		184
74     	584		1		1140		184		295
46     	582		1		780		209		320
82     	566		0		600		320		434
38     	507		1		780		434		562
90     	202		0		1380		562		883
30     	482		0		540		781		915
98     	400		1		720		915		1077
22     	529		1		1320		984		1106
106     	365		0		1380		1106		1284
14     	621		0		840		1205		1309
114     	424		0		600		1229		1382
123     	66000		0		1440		1383		1383
Numero de Barcos = 15

Canal: 6
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
6     	66000		0		0		0		0
61     	717		0		1260		0		90
59     	815		1		780		90		169
69     	353		1		1080		108		292
51     	536		0		300		292		413
77     	537		1		120		413		534
43     	185		1		1440		440		791
85     	578		1		1380		705		817
35     	573		1		840		730		843
93     	432		1		540		756		906
27     	471		1		300		800		938
101     	530		1		240		845		967
19     	369		1		1440		873		1049
109     	492		1		480		948		1080
11     	552		1		1440		991		1108
117     	686		1		900		1036		1130
124     	66000		0		1440		1130		1130
Numero de Barcos = 17

Canal: 7
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
7     	66000		0		0		0		0
67     	386		1		780		311		479
53     	509		1		1440		382		509
75     	491		1		480		411		543
45     	505		1		420		445		573
83     	500		1		840		474		604
37     	590		0		540		604		714
91     	645		1		1380		714		814
29     	575		0		960		814		927
99     	458		0		840		840		981
21     	528		0		840		887		1010
107     	461		0		240		915		1055
13     	541		0		540		963		1083
115     	478		0		900		990		1125
125     	66000		0		1440		1126		1126
Numero de Barcos = 15

Canal: 8
Barco	 Velocidad  	PuntoSalida 	HoraEstimada 	MinutoSalida 	MinLleg
8     	66000		0		0		0		0
60     	468		1		360		0		138
68     	545		0		1440		138		257
52     	661		1		180		257		355
76     	726		1		1320		287		376
44     	637		1		240		307		409
84     	592		0		540		409		518
36     	677		1		360		518		614
92     	531		1		540		540		662
28     	497		1		1320		568		698
100     	734		1		1320		631		719
20     	434		0		1080		719		868
108     	460		1		960		868		1009
12     	497		1		420		910		1040
116     	404		1		240		940		1100
126     	6600		0		1440		1100		1100
Numero de Barcos = 16

